"{20, 4, 0. - 34.57487401767962*I, 0. - 1.6865792203746157*I}","{20, 8, 0. - 4.559567501228323*I, 0. - 0.22241792688918652*I}","{20, 12, 0. - 32.433787185946855*I, 0. - 1.5821359602900906*I}","{20, 16, 0. - 10.187987880344075*I, 0. - 0.4969750185533695*I}","{20, 20, 0. - 13.791517195810014*I, 0. - 0.6727569363809763*I}","{20, 24, 5.110889857416604 - 19.56593437875051*I, 0.24931170036178554 - 0.9544358233536834*I}","{20, 28, 10.821500846418042 - 19.31913790589692*I, 0.5278780900691727 - 0.9423969710193619*I}","{20, 32, 15.014124050291962 - 19.198598215713762*I, 0.7323962951361933 - 0.9365169861323787*I}","{20, 36, 18.69144358039364 - 19.12417517068091*I, 0.911777735628958 - 0.9328865936917518*I}","{20, 40, 22.096831956309412 - 19.074801197633583*I, 1.077894241771191 - 0.9304781072016383*I}"
"{30, 4, 0. - 1.7739705204596776*I, 0. - 0.05816296788392386*I}","{30, 8, 0. - 51.170998929141376*I, 0. - 1.677737669807914*I}","{30, 12, 0. - 4.269373319742286*I, 0. - 0.13997945310630447*I}","{30, 16, 0. - 49.08209015559617*I, 0. - 1.6092488575605302*I}","{30, 20, 0. - 47.37950809012436*I, 0. - 1.5534264947581757*I}","{30, 24, 0. - 15.485216353373886*I, 0. - 0.5077120115860291*I}","{30, 28, 0. - 17.7731746425122*I, 0. - 0.5827270374594163*I}","{30, 32, 0. - 22.793098263536564*I, 0. - 0.7473146971651333*I}","{30, 36, 7.696478197204833 - 29.10425689744007*I, 0.2523435474493388 - 0.9542379310636089*I}","{30, 40, 13.788754505350582 - 28.82738771894371*I, 0.4520903116508388 - 0.9451602530801217*I}"
"{40, 4, 0. - 68.74274115921826*I, 0. - 1.6973516335609444*I}","{40, 8, 0. - 68.3602534312688*I, 0. - 1.6879074921300938*I}","{40, 12, 0. - 5.529921722136937*I, 0. - 0.1365412770898009*I}","{40, 16, 0. - 9.547448908264716*I, 0. - 0.23573947921641272*I}","{40, 20, 0. - 10.164592355249544*I, 0. - 0.25097758901850725*I}","{40, 24, 0. - 64.15383885251825*I, 0. - 1.5840454037658827*I}","{40, 28, 0. - 62.261397376750686*I, 0. - 1.5373184537469304*I}","{40, 32, 0. - 20.397421984849903*I, 0. - 0.5036400490086396*I}","{40, 36, 0. - 23.662030882142616*I, 0. - 0.5842476761022868*I}","{40, 40, 0. - 26.845947294564702*I, 0. - 0.6628628961620914*I}"
"{50, 4, 0. - 85.78259178126387*I, 0. - 1.6986651837874034*I}","{50, 8, 0. - 85.47706208110837*I, 0. - 1.6926150907150173*I}","{50, 12, 0. - 84.97848794870511*I, 0. - 1.682742335617923*I}","{50, 16, 0. - 3.6665495151795024*I, 0. - 0.07260494089464362*I}","{50, 20, 0. - 11.744422206840978*I, 0. - 0.2325628159770491*I}","{50, 24, 0. - 12.706580538410115*I, 0. - 0.2516154562061409*I}","{50, 28, 0. - 80.82027993224919*I, 0. - 1.6004015828168157*I}","{50, 32, 0. - 79.13366829759141*I, 0. - 1.5670033326255726*I}","{50, 36, 0. - 77.1128516627834*I, 0. - 1.5269871616392752*I}","{50, 40, 0. - 25.017611218041402*I, 0. - 0.4953982419414139*I}"
"{60, 4, 0. - 102.81262488720445*I, 0. - 1.6993822295405694*I}","{60, 8, 0. - 1.96521829168317*I, 0. - 0.032482946969969756*I}","{60, 12, 0. - 5.86122202005655*I, 0. - 0.09687970281085206*I}","{60, 16, 0. - 101.56615813815515*I, 0. - 1.6787794733579364*I}","{60, 20, 0. - 10.879477936194794*I, 0. - 0.1798260815899966*I}","{60, 24, 0. - 15.020076213612757*I, 0. - 0.24826572253905385*I}","{60, 28, 0. - 18.772077193801987*I, 0. - 0.3102822676661486*I}","{60, 32, 0. - 97.43397910378167*I, 0. - 1.6104789934509367*I}","{60, 36, 0. - 95.87700764426806*I, 0. - 1.5847439280044309*I}","{60, 40, 0. - 94.06605936795222*I, 0. - 1.5548108986438385*I}"
"{70, 4, 0. - 2.452400447988489*I, 0. - 0.03478582195728353*I}","{70, 8, 0. - 119.61893736459116*I, 0. - 1.6967225158098036*I}","{70, 12, 0. - 119.26488403199603*I, 0. - 1.691700482723348*I}","{70, 16, 0. - 118.77187787971076*I, 0. - 1.6847074876554717*I}","{70, 20, 0. - 118.13354967022752*I, 0. - 1.675653186811738*I}","{70, 24, 0. - 12.680944127891873*I, 0. - 0.1798715479133599*I}","{70, 28, 0. - 16.49609887954526*I, 0. - 0.23398721814957818*I}","{70, 32, 0. - 20.279679948770596*I, 0. - 0.2876550347343347*I}","{70, 36, 0. - 21.914039682398336*I, 0. - 0.3108374423035225*I}","{70, 40, 0. - 112.55408864258588*I, 0. - 1.5965118956395161*I}"
"{80, 4, 0. - 136.8579262692215*I, 0. - 1.7000984629716955*I}","{80, 8, 0. - 136.6670822445243*I, 0. - 1.6977277297456432*I}","{80, 12, 0. - 1.8536116092976331*I, 0. - 0.023026231171399167*I}","{80, 16, 0. - 10.856677929858332*I, 0. - 0.13486556434606622*I}","{80, 20, 0. - 11.730202781021154*I, 0. - 0.14571680473318202*I}","{80, 24, 0. - 134.69096274326526*I, 0. - 1.6731796614070218*I}","{80, 28, 0. - 15.026495526766096*I, 0. - 0.18666454070516889*I}","{80, 32, 0. - 15.828039305620035*I, 0. - 0.1966216062809942*I}","{80, 36, 0. - 21.900199180015672*I, 0. - 0.2720521637269027*I}","{80, 40, 0. - 20.36002020667117*I, 0. - 0.25291950567293375*I}"
"{90, 4, 0. - 153.87646602569697*I, 0. - 1.7002924422728947*I}","{90, 8, 0. - 153.70680819629848*I, 0. - 1.698417770124845*I}","{90, 12, 0. - 2.459486797138194*I, 0. - 0.027176649692134743*I}","{90, 16, 0. - 153.05049352352898*I, 0. - 1.6911656742931378*I}","{90, 20, 0. - 152.5587111996186*I, 0. - 1.685731615465399*I}","{90, 24, 0. - 151.9567565694177*I, 0. - 1.6790801830874884*I}","{90, 28, 0. - 151.2415331622192*I, 0. - 1.6711771620134719*I}","{90, 32, 0. - 13.630099048011374*I, 0. - 0.15060882925979419*I}","{90, 36, 0. - 11.81491479744069*I, 0. - 0.13055154472310154*I}","{90, 40, 0. - 23.508119163243414*I, 0. - 0.25975822279826977*I}"
"{100, 4, 0. - 170.89335809872293*I, 0. - 1.7004314238678897*I}","{100, 8, 0. - 170.74064507730716*I, 0. - 1.6989118913164891*I}","{100, 12, 0. - 170.49341231827702*I, 0. - 1.696451863863453*I}","{100, 16, 0. - 7.330143468467656*I, 0. - 0.07293675093002643*I}","{100, 20, 0. - 169.70911764078176*I, 0. - 1.6886479367241964*I}","{100, 24, 0. - 169.16963663417346*I, 0. - 1.6832799665091887*I}","{100, 28, 0. - 168.52988995100003*I, 0. - 1.676914327870647*I}","{100, 32, 0. - 16.500108329947555*I, 0. - 0.16418018238753784*I}","{100, 36, 0. - 21.88525214414215*I, 0. - 0.21776370292678757*I}","{100, 40, 0. - 17.55361021984942*I, 0. - 0.17466278825720816*I}"
"{200, 4, 0. - 1.7729062260323214*I, 0. - 0.008842425067492875*I}","{200, 8, 0. - 2.4532143803747517*I, 0. - 0.012235483193889035*I}","{200, 12, 0. - 4.239409190554779*I, 0. - 0.021144185489051268*I}","{200, 16, 0. - 340.65517825177517*I, 0. - 1.6990283204577314*I}","{200, 20, 0. - 340.4361297539756*I, 0. - 1.697935809246761*I}","{200, 24, 0. - 340.16974156804946*I, 0. - 1.6966071898655832*I}","{200, 28, 0. - 339.8557207818599*I, 0. - 1.6950410014057848*I}","{200, 32, 0. - 12.670015201037407*I, 0. - 0.0631920957657726*I}","{200, 36, 0. - 339.082174382885*I, 0. - 1.6911829146278554*I}","{200, 40, 0. - 338.6231781496817*I, 0. - 1.688893656606891*I}"
